32285, the Ville, Lee family's house, James Lee's room, sp-A
32295, the Ville, Lee family's house, Christopher and Elizabeth Lee's bedroom, sp-A
32305, the Ville, Lee family's house, Christopher and Elizabeth Lee's bedroom, sp-B
32315, the Ville, Lee family's house, Ava Lee's room, sp-A
32286, the Ville, Taylor family's house, common room, sp-A
32296, the Ville, Taylor family's house, David Taylor's bedroom, sp-A
32306, the Ville, Taylor family's house, Andrew Taylor's bedroom, sp-A
32316, the Ville, Taylor family's house, Andrew Taylor's bedroom, sp-B
32287, the Ville, Smith family's house, Michael and Emily Smith's bedroom, sp-A
32297, the Ville, Smith family's house, Michael and Emily Smith's bedroom, sp-B
32307, the Ville, Smith family's house, Isabella Smith's bedroom, sp-A
32317, the Ville, Smith family's house, common room, sp-A
32288, the Ville, July hotel, Charlotte Moore's room, sp-A
32298, the Ville, July hotel, Daniel Wilson's room, sp-A
32308, the Ville, July hotel, Sophia Thompson's room, sp-A
32318, the Ville, July hotel, common room, sp-A
32289, the Ville, Adam Smith's house, main room, sp-A
32299, the Ville, Adam Smith's house, main room, sp-B
32309, the Ville, Yuriko Yamamoto's house, main room, sp-A
32319, the Ville, Yuriko Yamamoto's house, main room, sp-B
32290, the Ville, Moore family's house, main room, sp-A
32300, the Ville, Moore family's house, main room, sp-B
32310, the Ville, Tamara Taylor and Carmen Ortiz's house, Tamara Taylor's room, sp-A
32320, the Ville, Tamara Taylor and Carmen Ortiz's house, Tamara Taylor's room, sp-B
32291, the Ville, Tamara Taylor and Carmen Ortiz's house, Carmen Ortiz's room, sp-A
32301, the Ville, Tamara Taylor and Carmen Ortiz's house, Carmen Ortiz's room, sp-B
32311, the Ville, Moreno family's house, Tom and Jane Moreno's bedroom, sp-A
32321, the Ville, Moreno family's house, Tom and Jane Moreno's bedroom, sp-B
32292, the Ville, Moreno family's house, empty bedroom, sp-A
32302, the Ville, Moreno family's house, empty bedroom, sp-B
32312, the Ville, Lin family's house, Mei and John Lin's bedroom, sp-A
32322, the Ville, Lin family's house, Mei and John Lin's bedroom, sp-B
32293, the Ville, Lin family's house, Eddy Lin's bedroom, sp-A
32303, the Ville, Lin family's house, Eddy Lin's bedroom, sp-B
32313, the Ville, Dorm for Oak Hill College, Klaus Mueller's room, sp-A
32323, the Ville, Dorm for Oak Hill College, Klaus Mueller's room, sp-B
32294, the Ville, Dorm for Oak Hill College, Maria Lopez's room, sp-A
32304, the Ville, Dorm for Oak Hill College, Ayesha Khan's room, sp-A
32314, the Ville, Dorm for Oak Hill College, Ayesha Khan's room, sp-B
32324, the Ville, Dorm for Oak Hill College, Wolfgang Schulz's room, sp-A
